experiment_type,ensemble_name,member_key,feature_config,model_name,prep_kind,n_members,n_columns,fit_seconds,status,error,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_heterogeneous_stacker,logistic_stack_top3_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.2,2966,667,0.224881995954147,0.40795107033639144,0.1102643647154033,2.0394802666716156
history_heterogeneous_stacker,logistic_stack_top5_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.01,149,69,0.46308724832214765,0.04220183486238532,0.1102643647154033,4.199790653284896
history_heterogeneous_stacker,logistic_stack_top5_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_heterogeneous_stacker,logistic_stack_top5_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
history_heterogeneous_stacker,logistic_stack_top5_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
history_heterogeneous_stacker,logistic_stack_top5_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
history_heterogeneous_stacker,logistic_stack_top5_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.05,742,247,0.3328840970350404,0.1510703363914373,0.1102643647154033,3.0189635417954612
history_heterogeneous_stacker,logistic_stack_top5_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_heterogeneous_stacker,logistic_stack_top5_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,5,199,0.0,ok,,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_heterogeneous_stacker,logistic_stack_top8_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.01,149,65,0.436241610738255,0.039755351681957186,0.1102643647154033,3.956324528456786
history_heterogeneous_stacker,logistic_stack_top8_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
history_heterogeneous_stacker,logistic_stack_top8_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
history_heterogeneous_stacker,logistic_stack_top8_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_heterogeneous_stacker,logistic_stack_top8_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.01,149,66,0.4429530201342282,0.04036697247706422,0.1102643647154033,4.017191059663814
history_heterogeneous_stacker,logistic_stack_top8_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.05,742,247,0.3328840970350404,0.1510703363914373,0.1102643647154033,3.0189635417954612
history_heterogeneous_stacker,logistic_stack_top8_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.1,1483,405,0.2730950775455158,0.24770642201834864,0.1102643647154033,2.4767301589265496
history_heterogeneous_stacker,logistic_stack_top8_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,8,199,0.0,ok,,test,ranking,0.2,2966,665,0.22420768712070127,0.40672782874617736,0.1102643647154033,2.033364883563155
