experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_order_sensitivity_member,,OrderCat_row515_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row515_model202,515,202,1.0,10.0,1,69444.0,199,73.46365583396982,1465.0,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
history_catboost_order_sensitivity_member,,OrderCat_row515_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row515_model202,515,202,1.0,10.0,1,69444.0,199,73.46365583396982,1465.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_row202_model37,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model37,202,37,1.0,10.0,1,69444.0,199,65.49646016699262,1270.0,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
history_catboost_order_sensitivity_member,,OrderCat_row202_model37,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model37,202,37,1.0,10.0,1,69444.0,199,65.49646016699262,1270.0,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_catboost_order_sensitivity_member,,OrderCat_row202_model37,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model37,202,37,1.0,10.0,1,69444.0,199,65.49646016699262,1270.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_catboost_order_sensitivity_member,,OrderCat_row202_model37,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model37,202,37,1.0,10.0,1,69444.0,199,65.49646016699262,1270.0,test,ranking,0.2,2966,647,0.21813890761968982,0.39571865443425075,0.1102643647154033,1.9783264355870094
history_catboost_order_sensitivity_member,,OrderCat_row202_model73,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model73,202,73,1.0,10.0,1,69444.0,199,69.50024566601496,1493.0,test,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
history_catboost_order_sensitivity_member,,OrderCat_row202_model73,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model73,202,73,1.0,10.0,1,69444.0,199,69.50024566601496,1493.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_row202_model73,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model73,202,73,1.0,10.0,1,69444.0,199,69.50024566601496,1493.0,test,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
history_catboost_order_sensitivity_member,,OrderCat_row202_model73,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model73,202,73,1.0,10.0,1,69444.0,199,69.50024566601496,1493.0,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_catboost_order_sensitivity_member,,OrderCat_row202_model131,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model131,202,131,1.0,10.0,1,69444.0,199,60.199013166944496,1160.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_order_sensitivity_member,,OrderCat_row202_model131,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model131,202,131,1.0,10.0,1,69444.0,199,60.199013166944496,1160.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_row202_model131,history_order_sensitivity_indicator_cat_interactions,OrderCat_row202_model131,202,131,1.0,10.0,1,69444.0,199,60.199013166944496,1160.0,test,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
