split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_no_bootstrap,202,202,-1.0,No,,,Default,1.0,10.0,69444,199,51.52379241702147,880,ok,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_no_bootstrap,202,202,-1.0,No,,,Default,1.0,10.0,69444,199,51.52379241702147,880,ok,,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_no_bootstrap,202,202,-1.0,No,,,Default,1.0,10.0,69444,199,51.52379241702147,880,ok,,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_no_bootstrap,202,202,-1.0,No,,,Default,1.0,10.0,69444,199,51.52379241702147,880,ok,,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_ordered_boosting,202,202,-1.0,Default,,,Ordered,1.0,10.0,69444,199,152.02521666698158,1491,ok,,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_ordered_boosting,202,202,-1.0,Default,,,Ordered,1.0,10.0,69444,199,152.02521666698158,1491,ok,,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_ordered_boosting,202,202,-1.0,Default,,,Ordered,1.0,10.0,69444,199,152.02521666698158,1491,ok,,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_ordered_boosting,202,202,-1.0,Default,,,Ordered,1.0,10.0,69444,199,152.02521666698158,1491,ok,,ranking,0.2,2966,659,0.22218476062036413,0.40305810397553515,0.1102643647154033,2.0150187342377732
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_default_row37_model37,37,37,7.5,Default,,,Default,1.0,10.0,67150,199,69.10628658393398,1498,ok,,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_default_row37_model37,37,37,7.5,Default,,,Default,1.0,10.0,67150,199,69.10628658393398,1498,ok,,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_default_row37_model37,37,37,7.5,Default,,,Default,1.0,10.0,67150,199,69.10628658393398,1498,ok,,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_default_row37_model37,37,37,7.5,Default,,,Default,1.0,10.0,67150,199,69.10628658393398,1498,ok,,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0,37,37,7.5,Bayesian,0.0,,Default,1.0,10.0,67150,199,73.343423500075,1297,ok,,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0,37,37,7.5,Bayesian,0.0,,Default,1.0,10.0,67150,199,73.343423500075,1297,ok,,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0,37,37,7.5,Bayesian,0.0,,Default,1.0,10.0,67150,199,73.343423500075,1297,ok,,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0,37,37,7.5,Bayesian,0.0,,Default,1.0,10.0,67150,199,73.343423500075,1297,ok,,ranking,0.2,2966,665,0.22420768712070127,0.40672782874617736,0.1102643647154033,2.033364883563155
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0.5,37,37,7.5,Bayesian,0.5,,Default,1.0,10.0,67150,199,72.61885316600092,1280,ok,,ranking,0.01,149,83,0.5570469798657718,0.05076452599388379,0.1102643647154033,5.051922090183281
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0.5,37,37,7.5,Bayesian,0.5,,Default,1.0,10.0,67150,199,72.61885316600092,1280,ok,,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0.5,37,37,7.5,Bayesian,0.5,,Default,1.0,10.0,67150,199,72.61885316600092,1280,ok,,ranking,0.1,1483,420,0.28320971004720163,0.25688073394495414,0.1102643647154033,2.5684609055534593
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp0.5,37,37,7.5,Bayesian,0.5,,Default,1.0,10.0,67150,199,72.61885316600092,1280,ok,,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp2,37,37,7.5,Bayesian,2.0,,Default,1.0,10.0,67150,199,78.09842345793732,1465,ok,,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp2,37,37,7.5,Bayesian,2.0,,Default,1.0,10.0,67150,199,78.09842345793732,1465,ok,,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp2,37,37,7.5,Bayesian,2.0,,Default,1.0,10.0,67150,199,78.09842345793732,1465,ok,,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bayesian_temp2,37,37,7.5,Bayesian,2.0,,Default,1.0,10.0,67150,199,78.09842345793732,1465,ok,,ranking,0.2,2966,655,0.2208361429534727,0.40061162079510704,0.1102643647154033,2.002787968020852
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.8,37,37,7.5,Bernoulli,,0.8,Default,1.0,10.0,67150,199,70.020027041086,1441,ok,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.8,37,37,7.5,Bernoulli,,0.8,Default,1.0,10.0,67150,199,70.020027041086,1441,ok,,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.8,37,37,7.5,Bernoulli,,0.8,Default,1.0,10.0,67150,199,70.020027041086,1441,ok,,ranking,0.1,1483,410,0.27646662171274444,0.25076452599388377,0.1102643647154033,2.507307074468853
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.8,37,37,7.5,Bernoulli,,0.8,Default,1.0,10.0,67150,199,70.020027041086,1441,ok,,ranking,0.2,2966,659,0.22218476062036413,0.40305810397553515,0.1102643647154033,2.0150187342377732
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.9,37,37,7.5,Bernoulli,,0.9,Default,1.0,10.0,67150,199,59.31335254199803,1081,ok,,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.9,37,37,7.5,Bernoulli,,0.9,Default,1.0,10.0,67150,199,59.31335254199803,1081,ok,,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.9,37,37,7.5,Bernoulli,,0.9,Default,1.0,10.0,67150,199,59.31335254199803,1081,ok,,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_ratio75_bernoulli_sub0.9,37,37,7.5,Bernoulli,,0.9,Default,1.0,10.0,67150,199,59.31335254199803,1081,ok,,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
