threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.09646613159728364,0.2817405002513748,0.7088485688433469,0.7296233839235525,0.1858267716535433,0.29621177544500227,0.5907371773604937,7605,5687,481,1298,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,best_f2
0.0415085119737801,0.2817405002513748,0.7088485688433469,0.9949409780775716,0.12,0.21416903623933692,0.13814610842014466,312,12980,9,1770,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,max_recall_precision_ge_0.12
0.07053069247888734,0.2817405002513748,0.7088485688433469,0.8684654300168634,0.15,0.25581587879791373,0.40355649923694514,4537,8755,234,1545,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,max_recall_precision_ge_0.15
0.1059208088971284,0.2817405002513748,0.7088485688433469,0.6756604834176504,0.2,0.30864039029400436,0.6426912613628823,8484,4808,577,1202,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,max_recall_precision_ge_0.20
0.5,0.2362478649639259,0.6824742803326109,0.03241590214067278,0.5888888888888889,0.06144927536231884,0.890814674939304,13156,37,1582,53,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,default_0.5
0.15941644736976707,0.2362478649639259,0.6824742803326109,0.37553516819571864,0.2364266461301502,0.29017013232514177,0.7974103048287025,11210,1983,1021,614,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,best_f1
0.08805409035288471,0.2362478649639259,0.6824742803326109,0.7363914373088685,0.15902786950204728,0.26156854225505105,0.5415430267062314,6826,6367,431,1204,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,best_f2
0.05271356830604855,0.2362478649639259,0.6824742803326109,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,max_recall_precision_ge_0.12
0.08043671757747001,0.2362478649639259,0.6824742803326109,0.7779816513761468,0.15,0.2515076618882847,0.4894119233881845,5985,7208,363,1272,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,max_recall_precision_ge_0.15
0.1272229710385469,0.2362478649639259,0.6824742803326109,0.5045871559633027,0.2,0.2864583333333333,0.7228216886970596,9893,3300,810,825,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,test,max_recall_precision_ge_0.20
0.5,0.2834575026389017,0.7085715718728056,0.04609331084879146,0.5774647887323944,0.08537220197813639,0.8834184858337204,13232,60,1697,82,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed303,303,6,0.02,10.0,1400,1.0,Default,199,65.55131045798771,1398,validation,default_0.5
