experiment_type,split_name,feature_config,model_name,seed,n_columns,best_iteration,fit_seconds,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
feature_group_ablation,patient_group_70_15_15,drop_diagnosis_features,PlateauCatBoost_d6_lr002_custom025,42,98,999,35.71188083407469,test,ranking,0.1,1483,390,0.26298044504383006,0.23853211009174313,0.1102643647154033,2.3849994122996403
feature_group_ablation,patient_group_70_15_15,drop_diagnosis_features,PlateauCatBoost_d6_lr002_custom025,42,98,999,35.71188083407469,test,ranking,0.2,2966,641,0.21611598111935265,0.39204892966360855,0.1102643647154033,1.9599802862616276
feature_group_ablation,patient_group_70_15_15,drop_medication_features,PlateauCatBoost_d6_lr002_custom025,42,126,996,49.85153416602407,test,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
feature_group_ablation,patient_group_70_15_15,drop_medication_features,PlateauCatBoost_d6_lr002_custom025,42,126,996,49.85153416602407,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
feature_group_ablation,patient_group_70_15_15,drop_medication_features,PlateauCatBoost_d6_lr002_custom025,42,126,996,49.85153416602407,test,ranking,0.1,1483,396,0.2670262980445044,0.24220183486238533,0.1102643647154033,2.4216917109504044
feature_group_ablation,patient_group_70_15_15,drop_medication_features,PlateauCatBoost_d6_lr002_custom025,42,126,996,49.85153416602407,test,ranking,0.2,2966,650,0.2191503708698584,0.39755351681957185,0.1102643647154033,1.9874995102497004
feature_group_ablation,patient_group_70_15_15,drop_lab_features,PlateauCatBoost_d6_lr002_custom025,42,147,978,48.3795292499708,test,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
feature_group_ablation,patient_group_70_15_15,drop_lab_features,PlateauCatBoost_d6_lr002_custom025,42,147,978,48.3795292499708,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
feature_group_ablation,patient_group_70_15_15,drop_lab_features,PlateauCatBoost_d6_lr002_custom025,42,147,978,48.3795292499708,test,ranking,0.1,1483,394,0.26567768037761297,0.24097859327217125,0.1102643647154033,2.409460944733483
feature_group_ablation,patient_group_70_15_15,drop_lab_features,PlateauCatBoost_d6_lr002_custom025,42,147,978,48.3795292499708,test,ranking,0.2,2966,641,0.21611598111935265,0.39204892966360855,0.1102643647154033,1.9599802862616276
feature_group_ablation,patient_group_70_15_15,admin_util_only,PlateauCatBoost_d6_lr002_custom025,42,38,996,28.93935329094529,test,ranking,0.01,149,60,0.40268456375838924,0.03669724770642202,0.1102643647154033,3.6519918724216485
feature_group_ablation,patient_group_70_15_15,admin_util_only,PlateauCatBoost_d6_lr002_custom025,42,38,996,28.93935329094529,test,ranking,0.05,742,230,0.30997304582210244,0.14067278287461774,0.1102643647154033,2.8111806259633854
feature_group_ablation,patient_group_70_15_15,admin_util_only,PlateauCatBoost_d6_lr002_custom025,42,38,996,28.93935329094529,test,ranking,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
feature_group_ablation,patient_group_70_15_15,admin_util_only,PlateauCatBoost_d6_lr002_custom025,42,38,996,28.93935329094529,test,ranking,0.2,2966,635,0.2140930546190155,0.38837920489296635,0.1102643647154033,1.9416341369362458
split_sensitivity,patient_group_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1199,59.8248639999656,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
split_sensitivity,patient_group_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1199,59.8248639999656,test,ranking,0.05,742,241,0.3247978436657682,0.1474006116207951,0.1102643647154033,2.945628395031199
split_sensitivity,patient_group_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1199,59.8248639999656,test,ranking,0.1,1483,395,0.2663519892110587,0.2415902140672783,0.1102643647154033,2.4155763278419435
split_sensitivity,patient_group_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1199,59.8248639999656,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
split_sensitivity,random_row_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1198,58.426736249937676,test,ranking,0.01,150,78,0.52,0.04596346493812611,0.11387733190175815,4.566317030053035
split_sensitivity,random_row_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1198,58.426736249937676,test,ranking,0.05,746,258,0.34584450402144773,0.15203299941072482,0.11387733190175815,3.0369916316603502
split_sensitivity,random_row_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1198,58.426736249937676,test,ranking,0.1,1491,418,0.28034875922199864,0.24631703005303476,0.11387733190175815,2.4618486799800965
split_sensitivity,random_row_70_15_15,full_summary_split_sensitivity,PlateauCatBoost_d6_lr002_custom025,42,158,1198,58.426736249937676,test,ranking,0.2,2981,693,0.23247232472324722,0.40836770771950504,0.11387733190175815,2.0414275680765055
