experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial009,9,6.539293652293959,17,313,1600,0.014444433333846153,6,8.928449522890341,1.631700196104433,64,Bernoulli,,0.8939477806142744,sqrt,,199,59560,63.87840475002304,1542,validation_pr_auc,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial009,9,6.539293652293959,17,313,1600,0.014444433333846153,6,8.928449522890341,1.631700196104433,64,Bernoulli,,0.8939477806142744,sqrt,,199,59560,63.87840475002304,1542,validation_pr_auc,test,ranking,0.2,2966,661,0.22285906945380984,0.40428134556574924,0.1102643647154033,2.0211341173462336
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial010,10,7.213339587008267,107,37,1100,0.022352694472942285,7,4.133285470686457,1.3549427244117085,128,Default,,,none,,199,64885,55.98315345903393,1081,validation_pr_auc,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial010,10,7.213339587008267,107,37,1100,0.022352694472942285,7,4.133285470686457,1.3549427244117085,128,Default,,,none,,199,64885,55.98315345903393,1081,validation_pr_auc,test,ranking,0.05,742,255,0.3436657681940701,0.1559633027522936,0.1102643647154033,3.116743737481144
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial010,10,7.213339587008267,107,37,1100,0.022352694472942285,7,4.133285470686457,1.3549427244117085,128,Default,,,none,,199,64885,55.98315345903393,1081,validation_pr_auc,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial010,10,7.213339587008267,107,37,1100,0.022352694472942285,7,4.133285470686457,1.3549427244117085,128,Default,,,none,,199,64885,55.98315345903393,1081,validation_pr_auc,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial011,11,7.993747926076813,202,149,1600,0.018371870368412712,7,8.203113125765487,0.6266848313523359,64,Default,,,none,,199,69444,70.08907462505158,1097,validation_pr_auc,test,ranking,0.01,149,84,0.5637583892617449,0.05137614678899083,0.1102643647154033,5.112788621390308
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial011,11,7.993747926076813,202,149,1600,0.018371870368412712,7,8.203113125765487,0.6266848313523359,64,Default,,,none,,199,69444,70.08907462505158,1097,validation_pr_auc,test,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial011,11,7.993747926076813,202,149,1600,0.018371870368412712,7,8.203113125765487,0.6266848313523359,64,Default,,,none,,199,69444,70.08907462505158,1097,validation_pr_auc,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial011,11,7.993747926076813,202,149,1600,0.018371870368412712,7,8.203113125765487,0.6266848313523359,64,Default,,,none,,199,69444,70.08907462505158,1097,validation_pr_auc,test,ranking,0.2,2966,652,0.2198246797033041,0.39877675840978594,0.1102643647154033,1.993614893358161
